"LURN_SAK","INCIDENT_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","X_COORDINATE","Y_COORDINATE","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
17062047,"2015-03-28 21:00:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","6100 RANDOLPH ST, COMMERCE, CA 90040","6100 RANDOLPH ST","COMMERCE","90040",6515049.3414845206,1814572.6222615293,"915-04295-0246","0246","04295","CA0190002","EAST LOS ANGELES","N"
17061557,"2015-03-28 18:00:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","2100 GENERAL ST, RANCHO PALOS VERDES, CA 90275","2100 GENERAL ST","RANCHO PALOS VERDES","90275",6465221.5171800395,1730746.1062520421,"915-01205-1746","1746","01205","CA0190017","LOMITA","N"
17060844,"2015-03-28 17:43:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","25200 OAK ST, LOMITA, CA 90717","25200 OAK ST","LOMITA","90717",6465158.0300312899,1748017.8228389479,"915-01188-1711","1711","01188","CA0190017","LOMITA","N"
17065925,"2015-03-28 17:25:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","26100 MAGIC MOUNTAIN PKWY, VALENCIA, CA 91355","26100 MAGIC MOUNTAIN PKWY","VALENCIA","91355",,,"915-04429-0690","0690","04429","CA0190006","SANTA CLARITA VALLEY","N"
17060899,"2015-03-28 17:20:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","17100 GALE AVE, CITY OF INDUSTRY, CA 91744","17100 GALE AVE","CITY OF INDUSTRY","91744",6582257.496414,1822471.268843,"915-03642-1415","1415","03642","CA0190014","INDUSTRY","N"
17065086,"2015-03-28 17:00:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","300 S WILMINGTON AVE, COMPTON, CA","300 S WILMINGTON AVE","COMPTON",,6489494.6841839561,1783761.2373024777,"915-04101-2832","2832","04101","CA0190042","COMPTON","N"
17060831,"2015-03-28 16:30:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","600 ROBERTSON BLVD, WEST HOLLYWOOD, CA","600 ROBERTSON BLVD","WEST HOLLYWOOD",,6444926.5509095481,1853076.7992182346,"915-01593-0972","0972","01593","CA0190009","WEST HOLLYWOOD","N"
17060766,"2015-03-28 15:12:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","2300 E AVENUE S, PALMDALE, CA","2300 E AVENUE S","PALMDALE",,6535501.3348865574,2025815.1961498621,"915-04361-2610","2610","04361","CA01900W9","PALMDALE","N"
17060785,"2015-03-28 14:25:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","1600 MOUNTAIN AVE, DUARTE, CA 91010","1600 MOUNTAIN AVE","DUARTE","91010",6566278.8484091545,1871202.2118125828,"915-03830-0541","0541","03830","CA0190005","TEMPLE","N"
17060729,"2015-03-28 14:08:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","100 E MARIPOSA DR, ALTADENA, CA","100 E MARIPOSA DR","ALTADENA",,6516963.9245103812,1892220.10571835,"915-00678-0774","0774","00678","CA0190007","ALTADENA","N"
17069305,"2015-03-28 12:27:30","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","100 CRESTWIND DR, RANCHO PALOS VERDES, CA 90275","100 CRESTWIND DR","RANCHO PALOS VERDES","90275",,,"915-01325-1733","1733","01325","CA0190017","LOMITA","N"
17060952,"2015-03-28 12:00:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","2100 FAIR OAKS AVE, ALTADENA, CA 91001","2100 FAIR OAKS AVE","ALTADENA","91001",6516139.0611460786,1888657.7614308062,"915-00681-0774","0774","00681","CA0190007","ALTADENA","N"
17060627,"2015-03-28 11:25:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","4500 ADMIRALTY WAY, MARINA DEL REY, CA 90292","4500 ADMIRALTY WAY","MARINA DEL REY","90292",6427040.8410597686,1816622.7502383068,"915-00835-2761","2761","00835","CA0190065","MARINA DEL REY","N"
17060792,"2015-03-28 10:00:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","10000 RIDEAU ST, WHITTIER, CA","10000 RIDEAU ST","WHITTIER",,6543538.3764587399,1826048.033796021,"915-02518-1573","1573","02518","CA0190015","PICO RIVERA","N"
17060602,"2015-03-28 01:15:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","2100 PACIFIC COAST HWY, LOMITA, CA 90717","2100 PACIFIC COAST HWY","LOMITA","90717",6464899.2632455649,1746180.0641755224,"915-01186-1714","1714","01186","CA0190017","LOMITA","N"
17060247,"2015-03-28 01:00:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","45400 25TH ST E, LANCASTER, CA","45400 25TH ST E","LANCASTER",,6535804.7675999152,2080475.8389580098,"915-05405-1135","1135","05405","CA0190024","LANCASTER","N"
17060356,"2015-03-28 00:30:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","100 W 127TH ST, LOS ANGELES, CA","100 W 127TH ST","LOS ANGELES",,6478119.7729304563,1792599.4596065646,"915-04183-2140","2140","04183","CA01900V3","CENTURY","N"
17060130,"2015-03-27 20:35:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","39100 CALLE ESSENCIAL, GREEN VALLEY, CA","39100 CALLE ESSENCIAL","GREEN VALLEY",,6440794.7582922736,2045724.0259168933,"915-04343-2655","2655","04343","CA01900W9","PALMDALE","N"
17060046,"2015-03-27 20:15:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","19200 COLIMA RD, ROWLAND HEIGHTS, CA","19200 COLIMA RD","ROWLAND HEIGHTS",,6596694.3647291139,1817821.4767218162,"915-02211-2934","2934","02211","CA0190020","WALNUT","N"
17060125,"2015-03-27 18:45:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","BAUCHET ST & MESSHALL, LOS ANGELES, CA 90012","BAUCHET ST & MESSHALL","LOS ANGELES","90012",6491552.3442556281,1844031.9511094827,"915-00379-5100","5100","00379","CA0190058","MCJ","N"
17060010,"2015-03-27 18:35:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","2700 DEL AMO BLVD, CARSON, CA","2700 DEL AMO BLVD","CARSON",,6497279.917754,1766664.487069,"915-03218-1622","1622","03218","CA0190016","CARSON","N"
17063364,"2015-03-27 17:30:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","16200 S ESSEY AVE, EAST RANCHO DOMINGUEZ, CA 90221","16200 S ESSEY AVE","EAST RANCHO DOMINGUEZ","90221",6499830.3702231757,1781104.8625898478,"915-04024-2853","2853","04024","CA0190042","COMPTON","N"
